station,basin,onset,end,duration_h,peak_level_m,river_driven,local_only,reached_major
C1-Headwater,Basin-C,2022-01-01 17:00:00,2022-01-02 07:00:00,15,3.3349615363130303,True,False,False
C2-Upper,Basin-C,2022-01-01 17:00:00,2022-01-02 00:00:00,8,6.004889597474321,True,False,False
C3-Middle,Basin-C,2022-01-01 17:00:00,2022-01-01 23:00:00,7,3.8846537886891053,False,True,False
C4-Lower,Basin-C,2022-01-01 17:00:00,2022-01-01 23:00:00,7,1.7005588310099542,False,True,False
C2-Upper,Basin-C,2022-01-02 04:00:00,2022-01-02 12:00:00,9,6.35660950256108,True,False,False
C3-Middle,Basin-C,2022-01-02 06:00:00,2022-01-02 06:00:00,1,4.511665982189792,True,False,False
C3-Middle,Basin-C,2022-01-02 10:00:00,2022-01-02 11:00:00,2,4.525060574594188,True,False,False
C3-Middle,Basin-C,2022-01-02 14:00:00,2022-01-02 14:00:00,1,4.505876515562877,True,False,False
C3-Middle,Basin-C,2022-01-02 22:00:00,2022-01-03 00:00:00,3,4.587004876831978,True,False,False
C2-Upper,Basin-C,2022-01-02 22:00:00,2022-01-02 22:00:00,1,6.063155103480814,True,False,False
C4-Lower,Basin-C,2022-01-03 00:00:00,2022-01-03 00:00:00,1,2.433295439496724,True,False,False
A4-Lower,Basin-A,2022-01-08 12:00:00,2022-01-08 15:00:00,4,0.7893881282982862,False,True,False
C3-Middle,Basin-C,2022-01-11 01:00:00,2022-01-11 05:00:00,5,3.2085892128578974,False,True,False
C1-Headwater,Basin-C,2022-01-11 02:00:00,2022-01-11 08:00:00,7,3.043129188191477,True,False,False
C4-Lower,Basin-C,2022-01-11 02:00:00,2022-01-11 07:00:00,6,1.7036305608727749,False,True,False
C2-Upper,Basin-C,2022-01-11 02:00:00,2022-01-11 05:00:00,4,4.723082641666058,False,True,False
C2-Upper,Basin-C,2022-01-14 13:00:00,2022-01-14 17:00:00,5,6.114775491088759,True,False,False
C3-Middle,Basin-C,2022-01-14 13:00:00,2022-01-14 16:00:00,4,3.9008186446293505,False,True,False
C4-Lower,Basin-C,2022-01-14 13:00:00,2022-01-14 17:00:00,5,2.032965743989538,False,True,False
C1-Headwater,Basin-C,2022-01-14 13:00:00,2022-01-14 17:00:00,5,3.15285124086099,True,False,False
C1-Headwater,Basin-C,2022-01-27 10:00:00,2022-01-27 15:00:00,6,3.1308288588087128,True,False,False
C2-Upper,Basin-C,2022-01-27 15:00:00,2022-01-27 15:00:00,1,6.0386646807344135,True,False,False
C2-Upper,Basin-C,2022-01-27 17:00:00,2022-01-27 17:00:00,1,6.020609973915391,True,False,False
C4-Lower,Basin-C,2022-02-01 11:00:00,2022-02-01 14:00:00,4,1.3331643688187873,False,True,False
C1-Headwater,Basin-C,2022-02-01 15:00:00,2022-02-01 17:00:00,3,3.059913756391125,True,False,False
C2-Upper,Basin-C,2022-02-17 16:00:00,2022-02-17 19:00:00,4,5.113862742409727,False,True,False
C4-Lower,Basin-C,2022-02-17 16:00:00,2022-02-17 20:00:00,5,1.633422061667839,False,True,False
C3-Middle,Basin-C,2022-02-17 16:00:00,2022-02-17 19:00:00,4,3.191017786112757,False,True,False
C1-Headwater,Basin-C,2022-02-17 17:00:00,2022-02-17 19:00:00,3,2.813888703378419,False,True,False
A4-Lower,Basin-A,2022-04-04 14:00:00,2022-04-04 16:00:00,3,0.7434513116045864,False,True,False
A3-Middle,Basin-A,2022-04-21 19:00:00,2022-04-21 21:00:00,3,3.6522481590355502,False,True,False
A4-Lower,Basin-A,2022-04-21 19:00:00,2022-04-21 22:00:00,4,0.7400861747289345,False,True,False
A3-Middle,Basin-A,2022-04-23 08:00:00,2022-04-23 11:00:00,4,3.974983055967636,False,True,False
A4-Lower,Basin-A,2022-04-23 08:00:00,2022-04-23 12:00:00,5,0.8495248097957646,False,True,False
A1-Headwater,Basin-A,2022-04-23 08:00:00,2022-04-23 11:00:00,4,2.03336518446841,False,True,False
A4-Lower,Basin-A,2022-04-24 00:00:00,2022-04-24 03:00:00,4,0.9038844237255801,False,True,False
A3-Middle,Basin-A,2022-04-24 09:00:00,2022-04-24 12:00:00,4,5.211729209476153,False,True,False
A4-Lower,Basin-A,2022-04-24 09:00:00,2022-04-24 13:00:00,5,1.0706306681258393,False,True,False
A2-Upper,Basin-A,2022-04-24 10:00:00,2022-04-24 12:00:00,3,12.327478069668437,False,True,False
B4-Lower,Basin-B,2022-04-25 15:00:00,2022-04-25 18:00:00,4,1.1436841029107887,False,True,False
B4-Lower,Basin-B,2022-05-07 22:00:00,2022-05-08 03:00:00,6,1.1083719434268722,False,True,False
B4-Lower,Basin-B,2022-05-10 14:00:00,2022-05-10 16:00:00,3,1.3952638729308648,False,True,False
A4-Lower,Basin-A,2022-05-11 06:00:00,2022-05-11 09:00:00,4,0.8422253124078156,False,True,False
A4-Lower,Basin-A,2022-05-12 19:00:00,2022-05-12 22:00:00,4,1.0324359078241532,False,True,False
B4-Lower,Basin-B,2022-05-14 06:00:00,2022-05-14 09:00:00,4,1.4180718157928367,False,True,False
B4-Lower,Basin-B,2022-05-16 09:00:00,2022-05-16 12:00:00,4,1.7286507035507974,False,True,False
A4-Lower,Basin-A,2022-05-17 05:00:00,2022-05-17 07:00:00,3,1.0794043634892934,False,True,False
A4-Lower,Basin-A,2022-05-19 19:00:00,2022-05-19 23:00:00,5,0.9486342104675554,False,True,False
A3-Middle,Basin-A,2022-05-19 19:00:00,2022-05-19 23:00:00,5,4.894682645755608,False,True,False
A1-Headwater,Basin-A,2022-05-19 19:00:00,2022-05-19 22:00:00,4,3.3446644152797336,False,True,False
A2-Upper,Basin-A,2022-05-19 19:00:00,2022-05-19 22:00:00,4,11.036612181315425,False,True,False
B4-Lower,Basin-B,2022-05-20 14:00:00,2022-05-20 18:00:00,5,1.412919456163892,False,True,False
B2-Upper,Basin-B,2022-05-20 14:00:00,2022-05-20 17:00:00,4,5.677856216739288,False,True,False
A4-Lower,Basin-A,2022-05-24 04:00:00,2022-05-24 07:00:00,4,0.9706633260266394,False,True,False
B4-Lower,Basin-B,2022-05-26 14:00:00,2022-05-26 19:00:00,6,1.4113749971196672,False,True,False
A4-Lower,Basin-A,2022-05-28 03:00:00,2022-05-28 06:00:00,4,1.009217222166907,False,True,False
B4-Lower,Basin-B,2022-05-28 05:00:00,2022-05-28 09:00:00,5,1.9400263573111698,False,True,False
B1-Headwater,Basin-B,2022-05-28 09:00:00,2022-05-28 09:00:00,1,3.5028342434428485,True,False,False
B3-Middle,Basin-B,2022-05-28 15:00:00,2022-05-28 19:00:00,5,9.796890197620835,False,True,False
B1-Headwater,Basin-B,2022-05-28 15:00:00,2022-05-29 03:00:00,13,4.202381854310071,True,False,False
B4-Lower,Basin-B,2022-05-28 15:00:00,2022-05-28 19:00:00,5,2.2875468671930714,False,True,False
B2-Upper,Basin-B,2022-05-28 15:00:00,2022-05-29 10:00:00,20,10.279318039376243,True,False,False
B3-Middle,Basin-B,2022-05-28 21:00:00,2022-05-29 11:00:00,15,11.047322618581989,True,False,False
B4-Lower,Basin-B,2022-05-29 01:00:00,2022-05-29 01:00:00,1,2.602816333738583,True,False,False
B4-Lower,Basin-B,2022-05-29 04:00:00,2022-05-29 04:00:00,1,2.613294616067262,True,False,False
B4-Lower,Basin-B,2022-05-29 06:00:00,2022-05-29 06:00:00,1,2.6655890444071755,True,False,False
B4-Lower,Basin-B,2022-05-29 09:00:00,2022-05-29 11:00:00,3,2.6811832714308914,True,False,False
B4-Lower,Basin-B,2022-05-29 14:00:00,2022-05-29 16:00:00,3,2.614113343887718,True,False,False
B4-Lower,Basin-B,2022-05-30 13:00:00,2022-05-30 16:00:00,4,2.379581436490613,False,True,False
A4-Lower,Basin-A,2022-05-31 08:00:00,2022-05-31 13:00:00,6,0.980596142498998,False,True,False
A4-Lower,Basin-A,2022-05-31 22:00:00,2022-06-01 02:00:00,5,1.1826389752154862,False,True,False
A1-Headwater,Basin-A,2022-05-31 23:00:00,2022-06-01 01:00:00,3,3.7889567275204135,False,True,False
A3-Middle,Basin-A,2022-05-31 23:00:00,2022-06-01 01:00:00,3,6.225230015618318,False,True,False
A1-Headwater,Basin-A,2022-06-01 13:00:00,2022-06-01 13:00:00,1,4.040512983776008,True,False,False
A4-Lower,Basin-A,2022-06-01 13:00:00,2022-06-01 17:00:00,5,1.44782304973664,False,True,False
A2-Upper,Basin-A,2022-06-01 17:00:00,2022-06-01 18:00:00,2,16.034520300431105,True,False,False
A4-Lower,Basin-A,2022-06-01 20:00:00,2022-06-01 20:00:00,1,1.52014559216124,True,False,False
A4-Lower,Basin-A,2022-06-01 23:00:00,2022-06-01 23:00:00,1,1.5298849886717147,True,False,False
A4-Lower,Basin-A,2022-06-02 14:00:00,2022-06-02 20:00:00,7,1.4702621087183285,False,True,False
A3-Middle,Basin-A,2022-06-02 16:00:00,2022-06-02 19:00:00,4,7.28161687060852,False,True,False
A1-Headwater,Basin-A,2022-06-02 16:00:00,2022-06-02 19:00:00,4,4.091987987254585,True,False,False
A2-Upper,Basin-A,2022-06-02 16:00:00,2022-06-02 20:00:00,5,16.00236304792242,True,False,False
A3-Middle,Basin-A,2022-06-02 21:00:00,2022-06-02 22:00:00,2,8.100675364722509,True,False,False
A4-Lower,Basin-A,2022-06-02 22:00:00,2022-06-03 00:00:00,3,1.5635241462657228,True,False,False
A4-Lower,Basin-A,2022-06-03 07:00:00,2022-06-04 11:00:00,29,1.7373206176479687,True,False,False
A2-Upper,Basin-A,2022-06-03 08:00:00,2022-06-03 23:00:00,16,17.363055674459083,True,False,False
A1-Headwater,Basin-A,2022-06-03 08:00:00,2022-06-03 16:00:00,9,4.687602003243713,True,False,False
A3-Middle,Basin-A,2022-06-03 08:00:00,2022-06-04 08:00:00,25,8.807328602312989,True,False,False
A4-Lower,Basin-A,2022-06-04 15:00:00,2022-06-04 15:00:00,1,1.5607336834140655,True,False,False
B3-Middle,Basin-B,2022-06-06 23:00:00,2022-06-07 02:00:00,4,5.296055929559901,False,True,False
B4-Lower,Basin-B,2022-06-06 23:00:00,2022-06-07 03:00:00,5,1.158868789370835,False,True,False
B4-Lower,Basin-B,2022-06-09 15:00:00,2022-06-09 20:00:00,6,1.6948941102332173,False,True,False
