feature,importance,std,group
api_mm,0.13714969857214304,0.007758802605880791,rainfall
rain_3h_mm,0.11265973327321592,0.004557753155524525,rainfall
rain_48h_mm,0.07138955579017152,0.004282904294217702,rainfall
rain_1h_mm,0.06633773909166334,0.001222714694594253,rainfall
rain_max_1h_24h,0.048487483954003395,0.004182148630942066,rainfall
crowd_yes_ratio,0.03663411743500973,0.003421151242503438,crowd
level_headroom_minor_m,0.02797999900750405,0.003762161923625797,river
crowd_yes_6h,0.02749753547480214,0.004665601332294633,crowd
rain_72h_mm,0.024056598455641565,0.0012590961076720069,rainfall
level_pct_rank,0.019155887067243405,0.0031127773531899284,river
rain_6h_mm,0.018306437268675157,0.001256708127205295,rainfall
rain_12h_mm,0.01638024832927072,0.000907025876172971,rainfall
level_norm,0.01111814660618724,0.0011693213566460283,river
upstream_level_norm,0.008397976535196671,0.0017541472174245102,upstream
upstream_minus_local,0.006435850715074109,0.0013894651337108806,upstream
crowd_yes_n,0.005900133658510454,0.0006102056241779807,crowd
rain_wet_hours_24h,0.005221687760673821,0.002734919408249771,rainfall
level_over_alert,0.005075106354474479,0.0032437974839984794,river
month_sin,0.004555670615799557,0.004079107300332316,temporal
catchment_km2,0.003504625144237239,0.0019005299112550523,river
level_mean_48h,0.002571942063607069,0.0006867765226915673,river
crowd_ratio_delta_3h,0.002389386555442896,0.0009299301253784139,crowd
level_max_48h,0.0018156825170293045,0.002105480864645337,river
rain_24h_mm,0.0012229341303914508,0.000852839927397572,rainfall
upstream_lag_h,0.0010605460926593313,0.0003266150208627936,upstream
upstream_delta_3h,0.0007711175253292124,0.0008514467188619923,upstream
level_delta_6h,0.0005529494949677138,0.0007954527238795078,river
level_delta_1h,0.0003394649357747914,0.0005440538522286653,river
crowd_rule_fires,0.00021625618289988768,0.0,crowd
is_southwest_monsoon,0.00016265485949786828,0.0001555994418288546,temporal
crowd_floor_met,0.0,0.0,crowd
rain_heavy_24h,0.0,0.0,rainfall
rain_very_heavy_24h,0.0,0.0,rainfall
above_alert,-8.221214420345291e-09,1.113245838564549e-08,river
is_northeast_monsoon,-0.00016136376568449685,7.786029230368773e-05,temporal
level_delta_3h,-0.0002200132970628488,0.0005822763036820091,river
level_max_24h,-0.00023007529017582407,0.0014570889567281603,river
level_age_h,-0.0004122838198928003,0.00038414875087146517,river
hour_cos,-0.0004802065032681213,0.001045847368833768,temporal
level_accel,-0.000485998104833496,0.00047604671174373967,river
level_delta_24h,-0.0005270744442488651,0.0011285216561496725,river
level_delta_12h,-0.0006992026255226991,0.00015864023289098104,river
level_range_24h,-0.0009872175540504903,0.001437127625866424,river
hours_since_alert,-0.0011341530914533715,0.0018633828649810816,river
level_mean_24h,-0.0013127742924903929,0.0009329092158830713,river
crowd_n,-0.001516731151587436,0.0006604096851681511,crowd
level_max_72h,-0.0015467550786119276,0.003026576876097406,river
hour_sin,-0.0016171647612030382,0.0017237803322450627,temporal
level_mean_72h,-0.0022335567708611894,0.00317547773809754,river
month_cos,-0.008483114219461662,0.0026738623354561277,temporal
